name_2020,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Atchison, KS Micro Area",-315,16210,9.45,5.04,11.68,0.38,0.23,0.23,25.2,17,13.6,15,2.3,50683,63366
"Athens-Clarke County, GA Metro Area",785,210810,13.28,4.48,13.75,3.63,0.92,0.89,30.76,15.4,10.4,13,5.4,49503,76015
"Athens, OH Micro Area",2458,65945,15.61,3.66,25.37,3.45,0.46,1.15,25.71,16.3,12.7,10.2,3.9,42414,59374
"Athens, TN Micro Area",785,53392,8.91,5.26,3.36,0.28,0.27,1.16,25.06,19.4,10.2,10.9,4.2,46872,63007
"Athens, TX Micro Area",244,81969,8.5,4.95,3.37,0.29,0.57,1.04,26.47,16.9,13,11.7,4.4,49469,68558
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",18410,5947008,10.16,5.9,5.16,1.51,1.73,2.21,30.3,17.6,13.3,16.6,8,71193,98643
"Atlantic City-Hammonton, NJ Metro Area",-1101,264650,9.31,5.01,5.75,1.06,1.08,1.15,29.87,15.4,12.5,16.6,7.1,63680,88111
"Atmore, AL Micro Area",-354,36775,10.89,6.32,2.3,0.35,0.29,0.24,17.01,17,7.7,6.7,2.6,35558,48165
"Auburn-Opelika, AL Metro Area",-961,163461,14.08,4.89,14.54,2.91,0.98,1.94,29.86,16,11.3,14.2,5.5,52930,74869
"Auburn, IN Micro Area",-135,43193,9.55,5.78,3.35,0.78,0.81,0.74,29.09,21.5,16,13.7,4.1,58415,72218
"Auburn, NY Micro Area",2,76958,9.94,5.18,3.98,0.55,0.57,0.97,29.33,17.9,14,16.1,4.6,57985,76230
"Augusta-Richmond County, GA-SC Metro Area",2292,605303,10.43,5.39,4.69,1.19,0.77,1.48,26.09,18.8,12.2,13.5,5.7,55049,73352
"Augusta-Waterville, ME Micro Area",370,122158,8.8,5.16,5.23,0.85,0.8,1.06,34.08,17.5,14.5,14,4.5,55368,72610
"Austin-Round Rock-Georgetown, TX Metro Area",21465,2173804,12.44,5.03,6,1.64,2.07,3.42,31.79,16.7,13.5,19.2,9.6,80852,108042
"Austin, MN Micro Area",-16,39931,9.09,5.87,3.14,0.59,0.44,0.42,28.35,18.2,15,12.6,5.1,55378,72728
"Bainbridge, GA Micro Area",346,26595,9.42,4.97,2.78,0.22,0.2,0.19,18.3,13,12.7,9.8,2.8,40567,55861
"Bakersfield, CA Metro Area",3318,892458,12.38,6.74,5.79,0.91,0.36,0.88,21.77,17.3,12.6,13.7,5.8,54851,75161
"Baltimore-Columbia-Towson, MD Metro Area",604,2800427,10.27,4.93,5.56,1.99,2.03,2.33,31.22,15.2,12.8,18.9,10.5,83811,109773
"Bangor, ME Metro Area",273,151696,10.42,4.24,7.99,1.84,0.37,1.07,32.33,18.4,12.5,12.8,4.5,52128,69143
"Baraboo, WI Micro Area",423,64152,8.65,4.73,2.82,0.54,0.5,1.01,31.54,20.8,14.4,16.7,4.8,62808,77000
"Bardstown, KY Micro Area",-101,45915,9.19,5.15,2.74,0.54,0.72,0.65,28.35,22.3,14.1,15.8,5.1,63032,77856
"Barnstable Town, MA Metro Area",-1121,213505,7.4,4.12,3.7,1,1.1,2.19,38.32,17.1,13.2,18.1,9.2,76863,104697
"Barre, VT Micro Area",-588,58336,9.23,5.02,6.13,0.86,0.83,1.9,34.92,20.1,14.9,15.9,5.8,64862,81534
"Bartlesville, OK Micro Area",-139,51995,9.08,5.41,3.7,0.47,1.29,1.58,28.47,19.5,11.5,12.4,4.9,53384,75880
"Batavia, NY Micro Area",-101,57554,9.88,4.65,3.24,0.59,0.52,0.96,31.83,19.2,15.2,15.2,6.1,60635,73368
"Batesville, AR Micro Area",154,54802,8.52,5.21,4.01,0.78,0.32,0.45,24.64,19.3,11.6,8,2.5,43802,59377
"Baton Rouge, LA Metro Area",196,856779,11.2,5.28,6.19,1.48,0.64,1.48,26.8,16.5,12.2,16.1,7,60043,83907
"Battle Creek, MI Metro Area",400,133943,9.25,5.45,4.88,0.56,0.47,0.96,28.39,18.5,12,12.3,4,50219,66898
"Bay City, MI Metro Area",90,103506,9.15,5.23,4.14,0.52,0.3,0.95,31.4,17.5,11.8,12.6,3.9,48290,64288
"Bay City, TX Micro Area",197,36791,9.2,5.47,3.7,1.24,0.44,1.39,23.62,16.5,13.6,10.6,5.1,48733,64774
"Beatrice, NE Micro Area",-277,21548,8.28,5.7,2.35,0.62,0.06,0.58,30.75,17.4,13.7,13.9,4.3,51812,66602
"Beaumont-Port Arthur, TX Metro Area",3,394268,10.86,5.27,4.03,0.62,0.38,1.2,25.07,17,11.8,14.5,5.9,54256,74556
"Beaver Dam, WI Micro Area",102,87569,9.93,5.18,3.19,0.63,0.43,0.87,30.63,20.2,17.3,16.3,4.1,62591,75449
"Beckley, WV Metro Area",-452,117539,8.79,4.28,3.6,0.63,0.33,0.42,26.84,16.5,12.5,11.1,2.6,43444,57592
"Bedford, IN Micro Area",-508,45552,8.5,4.68,3.5,0.71,0.32,1.54,28.55,20.6,15.6,13.9,3.7,57740,68487
"Beeville, TX Micro Area",159,32609,18.17,5.3,4.06,1.6,0.2,0.32,16.74,18.8,9.8,10.2,5,45287,62450
"Bellefontaine, OH Micro Area",-368,45315,8.44,5.21,2.62,0.53,0.15,0.87,31.32,21.2,15.6,15.6,4.5,60417,73786
"Bellingham, WA Metro Area",-136,224538,12.26,4.18,9.3,0.93,0.73,1.76,33.8,18.7,14.8,16.8,7,65420,82145
"Bemidji, MN Micro Area",792,46784,11.26,5.3,7.99,1.3,0.51,0.49,28.78,18.4,12.3,11.9,4.4,50525,66653
"Bend, OR Metro Area",2047,191749,9.16,4.55,3.73,0.73,0.72,1.53,35.09,19.1,14.2,16.2,7.3,68937,92315
"Bennettsville, SC Micro Area",104,26376,11.89,5.96,3,0.33,0.24,0.12,17.12,15.8,10.2,4.9,1.2,31528,41603
"Bennington, VT Micro Area",468,35649,8.47,4.6,5.18,0.74,0.59,1.2,33.68,17.4,12.9,14.8,6,58200,82211
"Berlin, NH Micro Area",240,31486,9.76,4.15,2.88,0.62,0.4,0.87,33.69,19.2,11.4,12.3,3.4,48945,63771
"Big Rapids, MI Micro Area",914,43481,12.49,4.35,14.04,1.69,0.56,0.67,27.63,18.3,12.1,11,3.1,45797,60669
"Big Spring, TX Micro Area",193,36213,11.87,5.67,3.34,0.33,0.15,0.35,21.57,22.7,12.4,14.4,4.5,57761,73584
"Big Stone Gap, VA Micro Area",-88,42001,11.53,4.72,4.61,0.81,0.38,0.23,25.44,19.9,10.9,7.1,1.8,39886,52317
"Billings, MT Metro Area",-175,180641,9.45,4.79,3.28,0.84,0.44,1.66,33.74,19.2,13.4,15.5,6.2,62722,86094
"Binghamton, NY Metro Area",2265,240473,10.38,4.7,8.02,1.77,1.3,2.08,32.3,18,13.3,13.5,5,54695,72575
"Birmingham-Hoover, AL Metro Area",1388,1088170,9.69,5.21,4.66,1.35,0.98,1.51,28.54,17.8,12.2,15,5.8,59185,83148
"Bismarck, ND Metro Area",487,128589,10.93,4.23,4.18,1.25,0.67,1.33,34.05,18.7,14.5,19.5,8.2,72886,92600
"Blackfoot, ID Micro Area",-66,46246,8.81,6.76,3.24,0.67,0.59,1.01,26.1,21.4,13.2,14.9,5.3,58260,74270
"Blacksburg-Christiansburg, VA Metro Area",331,167201,14.26,3.77,19.81,3.22,1.13,2.65,28.11,20.7,12.2,13.1,4.8,55475,72485
"Bloomington, IL Metro Area",279,172164,12.46,5.01,13.82,1.77,2.52,1.18,31.88,15.9,13.8,16.3,8.5,68037,87885
"Bloomington, IN Metro Area",3451,168172,15.74,3.61,19.15,4.37,1.37,1.54,31.55,18.2,11.5,13.3,4.3,52226,70787
"Bloomsburg-Berwick, PA Metro Area",-152,83568,9.98,4.33,8.45,1.06,0.8,0.86,29.48,18.6,12.8,13.2,4.5,53546,71678
"Bluefield, WV-VA Micro Area",-33,106905,8.9,4.51,4.07,0.7,0.55,0.58,25.32,17.5,10.6,8.6,2.3,41979,57165
"Bluffton, IN Micro Area",290,28010,8.46,5.28,2.78,0.54,0.48,1.32,29.48,19.4,14.3,15.4,4.4,57565,71174
"Blytheville, AR Micro Area",-33,41396,10.03,6.05,2.86,1.26,0.12,0.36,24.01,17.1,8.5,11.6,3.6,42986,61177
"Bogalusa, LA Micro Area",-202,46325,8.58,5.01,3.3,0.22,0.28,0.27,21.3,14.8,10.1,9.9,2.7,39185,54294
"Boise City, ID Metro Area",4714,730483,10.22,5.88,5.14,1.18,1.02,1.81,31.47,21.2,13.8,16,5.6,64717,85592
"Bonham, TX Micro Area",533,35046,11.13,5.98,3.31,0.26,0.39,0.48,24.25,18.4,13.7,14.4,4.9,57898,78077
"Boone, NC Micro Area",-120,55669,16.07,3.31,24.62,2.77,1.35,0.81,31.72,15.2,11.2,11.8,3.4,46453,69517
"Borger, TX Micro Area",-267,21105,9.65,5.73,5.21,0.2,0.34,1.3,23.32,17.4,11.1,19.8,4.7,57921,71082
"Boston-Cambridge-Newton, MA-NH Metro Area",11816,4854808,11.13,4.87,6.32,2.4,2.02,3.44,32.25,13.1,11.8,18.5,11.6,93537,127262
"Boulder, CO Metro Area",3379,324682,13.02,4.81,10.94,2.64,3.06,5.05,35.71,14,12.1,17.7,10.9,87476,121262
"Bowling Green, KY Metro Area",1496,176852,11.87,4.8,8.68,1.15,0.54,0.97,27.68,18.8,12.8,12.3,3.8,51591,72185
"Bozeman, MT Micro Area",1374,111401,15.81,3.41,11.47,2.64,1.32,2.96,36.22,19.1,14.8,16.9,7.4,70124,95018
"Bradford, PA Micro Area",-17,41021,9.82,5.28,3.83,0.45,0.41,0.73,29.58,19.5,12.3,11.6,3.4,49240,63379
"Brainerd, MN Micro Area",526,94237,7.75,4.77,2.16,0.63,0.57,0.84,32.86,19.1,13.6,15.7,4.5,56641,74371
"Branson, MO Micro Area",-298,55563,8.72,4.82,4.85,0.58,0.44,0.19,30.84,21.2,12.5,9.6,1.8,47860,60007
"Breckenridge, CO Micro Area",-69,30735,14.11,3.6,2.81,1.67,0.99,3.73,33.88,20.1,15.9,20.6,8.1,80709,108368
"Bremerton-Silverdale-Port Orchard, WA Metro Area",2397,268945,12.66,4.5,4.33,0.89,1.21,2.7,34.84,18.2,15.3,20.1,8.5,78969,98809
"Brenham, TX Micro Area",194,35275,6.94,4.96,6.97,0.71,0.51,0.72,25.43,20,12.2,13.7,4.6,59623,83164
"Brevard, NC Micro Area",385,34039,7.81,3.97,3.99,0.78,0.48,1.4,31.19,17.4,14.3,11.1,4.2,51509,68831
"Bridgeport-Stamford-Norwalk, CT Metro Area",179,944306,9.01,5.94,5.46,1.54,1.64,2.31,30.94,13.4,10.3,16.6,10.2,97539,157765
"Brookhaven, MS Micro Area",-164,34197,8.3,5.54,4.08,0.16,0.2,0.7,22.14,13.5,11.8,13.1,2.3,41355,58776
"Brookings, OR Micro Area",-3,22889,6.5,3.09,0.81,0.53,0.31,1.16,36.79,21.4,10,11.8,6.7,53174,68141
"Brookings, SD Micro Area",-134,35115,16.75,3.78,20.37,2.86,0.95,2.5,30.54,20,14.6,16.5,4.7,57471,73068
"Brownsville-Harlingen, TX Metro Area",-3224,422135,10.03,7.01,4.55,0.58,0.35,0.65,17.25,17.9,10.2,9.6,3,41200,57253
"Brownsville, TN Micro Area",-137,17391,7.68,5.26,1.75,0.81,0.15,0.78,21.92,20,12.1,7.3,1.2,38994,54029
"Brownwood, TX Micro Area",-518,37805,9.07,5.41,3.84,0.81,0.64,0.86,25.94,19.2,11,11.9,4.6,49180,67938
"Brunswick, GA Metro Area",234,118149,8.38,5.13,3.34,0.73,0.43,0.77,27.94,17,12.7,14.4,4.7,53541,74665
"Bucyrus-Galion, OH Micro Area",-338,41603,8.55,5.03,2.8,0.25,0.18,0.49,30.42,20.3,10.9,10.5,2.9,46391,60616
"Buffalo-Cheektowaga, NY Metro Area",-93,1129018,10.24,4.87,5.33,1.52,0.98,1.46,32.22,17.5,12.9,14.9,6.6,59079,79277
"Burley, ID Micro Area",416,44664,9.68,7.16,2.7,0.62,0.19,0.33,25.03,22.8,10.8,13.1,3.5,52668,66997
"Burlington-South Burlington, VT Metro Area",2267,219764,11.94,4.4,9.03,2.08,1.29,2.39,34.03,16.8,14.2,19.1,7.5,73447,94333
"Burlington, IA-IL Micro Area",79,45964,8.2,4.83,2.92,0.45,0.22,0.98,29.98,19.5,12.2,13.3,4.2,52268,70992
"Burlington, NC Metro Area",-94,166144,9.09,5.29,6.93,0.64,0.73,0.9,28.87,17.3,12.5,14.4,4.3,51580,69461
"Butte-Silver Bow, MT Micro Area",261,34895,10.97,3.85,5.9,0.96,1.26,2.26,31.09,20.5,10.4,12.5,3.2,49359,63061
"Cadillac, MI Micro Area",-75,48508,8.62,5.33,2.28,0.33,0.38,0.87,28.35,20.5,12.6,10.9,2.9,49418,64859
"Calhoun, GA Micro Area",-74,57756,9.35,5.03,3.29,0.51,0.64,0.62,25.59,17.8,11.4,12.5,3.5,48662,66636
"California-Lexington Park, MD Metro Area",1196,113182,10.49,5.67,5.29,1.72,1.63,4.07,30.95,14.4,13.3,22.2,14,95864,111381
"Cambridge, MD Micro Area",-160,31994,7.79,4.9,3.64,0.83,0.54,0.64,29.1,17.3,13.7,14.5,2.5,52799,69908
"Cambridge, OH Micro Area",-1,38996,9.25,5.4,3.24,0.58,0.3,0.66,27.16,19.7,11.3,10.6,2.5,46352,61472
"Camden, AR Micro Area",-381,28757,8.54,4.93,3.32,0.29,0.15,1.13,21.31,16.6,10.5,9.7,3.5,39511,53197
"Campbellsville, KY Micro Area",268,36572,9.97,5.52,5.6,0.75,0.64,0.19,24.73,19,12.5,8.7,3.4,46001,62491
"Cañon City, CO Micro Area",-287,47725,13.05,4.17,1.77,0.61,0.67,0.77,28.28,17.9,13.9,14.9,3.3,52364,72173
"Canton-Massillon, OH Metro Area",-1385,398711,8.93,5.06,4.39,0.82,0.56,1.1,30.61,19.4,13,14,4.4,54854,71709
"Cape Coral-Fort Myers, FL Metro Area",1769,756570,7.98,4.29,3.99,0.86,0.68,1.52,31.11,19.7,13.3,13.9,5.2,59608,84303
"Cape Girardeau, MO-IL Metro Area",429,97026,10.62,4.42,8.48,1.06,0.6,0.6,26.62,19.2,14.5,11.1,3.8,51428,66428
"Carbondale-Marion, IL Metro Area",1381,136837,12.14,4.35,8.8,2.21,0.74,1.03,27.71,15.4,12.1,11.8,4.3,46563,65623
"Carlsbad-Artesia, NM Micro Area",-1004,57865,10.71,5.62,2.45,0.95,0.41,0.95,25.47,17.8,10.9,17.9,9.2,65000,83272
"Carroll, IA Micro Area",-107,20150,8.66,4.94,2.41,0.56,0.58,0.37,32.7,15.7,15.2,16.5,6.5,59198,74642
"Carson City, NV Metro Area",419,55244,10.25,4.8,4.06,0.75,0.5,1.29,32.53,21.2,13,13.5,5.6,58305,79561
"Casper, WY Metro Area",-486,80067,10.21,5.2,4.76,0.94,0.39,1.36,32.67,18.3,14.1,15.9,6.2,62168,81452
"Cedar City, UT Micro Area",-246,53148,12.64,6.52,11.09,0.97,0.41,0.84,27.71,20.6,13.2,12.9,3.3,52045,66437
"Cedar Rapids, IA Metro Area",1100,271734,9.87,5.1,4.66,0.93,1.14,2.11,32.59,18.7,15.3,16.3,6.9,66620,86435
"Cedartown, GA Micro Area",496,42251,9.85,5.15,3.03,0.27,0.11,0.23,23.14,17.7,12.4,11.3,4.4,46846,63967
"Celina, OH Micro Area",-238,41034,8.84,5.9,2.65,0.46,0.34,1.15,30.89,20.6,17.7,17.1,4.2,65566,80261
"Central City, KY Micro Area",-133,30815,9.77,5.4,2.79,0.66,1.15,0.39,24.48,19.1,10,9.6,3,45937,64585
"Centralia, IL Micro Area",-399,37524,8.82,4.59,2.77,0.59,0.23,0.38,28.85,19.7,12.6,12.3,2.9,49925,63172
"Centralia, WA Micro Area",457,79430,8.89,5.04,3.83,0.85,0.45,0.91,30.24,18.7,14.3,13.5,5.1,54970,70394
"Chambersburg-Waynesboro, PA Metro Area",-374,154954,8.57,5.31,3.23,0.88,0.72,0.85,30.5,21.3,15.8,17,5,63420,79534
"Champaign-Urbana, IL Metro Area",1650,226418,15.25,4.02,15.51,5.47,1.43,2.11,33.04,16.4,11.3,14.6,5.9,54897,76655
"Charleston-Mattoon, IL Micro Area",1005,61852,11.69,3.94,11.24,1.52,0.49,0.68,29.85,18.1,11.8,12.1,3.9,48377,68070
"Charleston-North Charleston, SC Metro Area",1229,790955,11.06,4.67,4.8,1.52,1.07,1.88,30.01,18,12.8,16.3,6.8,65894,92599
"Charleston, WV Metro Area",-118,260920,8.64,4.43,2.97,0.96,0.5,0.93,28.12,17.7,10.3,11.7,3.5,46099,65158
"Charlotte-Concord-Gastonia, NC-SC Metro Area",9198,2595027,9.95,5.43,4.65,1.11,1.41,1.87,30.09,18,13.1,15.5,6.9,65725,92924
"Charlottesville, VA Metro Area",126,217455,10.69,4.01,8.89,3.13,1.49,2.2,32.84,16.6,13.7,17,9,75176,105855
"Chattanooga, TN-GA Metro Area",2017,561055,9.75,4.6,5.18,0.92,0.74,1.68,28.96,18,12.6,13.5,4.6,54425,76943
"Cheyenne, WY Metro Area",787,99272,11.65,4.92,5.42,1.17,0.69,1.43,33.6,19.6,15.3,19.3,6.4,69369,88451
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",-4686,9478801,10.53,5.46,5.02,1.66,1.47,2.06,30.08,16,12.8,17.5,8.7,74621,103463
"Chico, CA Metro Area",-569,223344,12.27,5.02,10.94,0.96,0.74,0.93,30.79,16.1,11.7,13.5,6.1,54972,79233
"Chillicothe, OH Micro Area",160,76816,10.66,5.48,2.85,0.51,0.26,0.52,27.09,18.1,14,13.5,3.3,51508,65886
"Cincinnati, OH-KY-IN Metro Area",5556,2214265,10.06,5.27,5,1.25,1.15,2.07,30.92,17.4,13.5,16.6,7.3,66435,89920
"Clarksburg, WV Micro Area",-487,92936,8.93,4.46,3.06,0.75,0.41,0.88,27.3,17.2,11.7,15.1,4.4,52176,69385
"Clarksdale, MS Micro Area",-418,22685,8.8,5.77,5.56,0.9,0.29,0.14,20.77,11.9,10.1,5.2,1.7,30761,48652
"Clarksville, TN-KY Metro Area",2147,304584,14.59,4.93,6.15,1.4,0.55,0.9,28.51,19.8,14.1,13.4,4,54911,70402
"Clearlake, CA Micro Area",538,64276,8,4.77,4.01,0.44,0.57,0.86,28.78,16.6,11,11.7,5,49254,72862
"Cleveland-Elyria, OH Metro Area",1658,2053137,9.47,5.21,4.73,1.32,0.96,1.73,32.26,17.6,12.3,14.2,5.8,57263,80726
"Cleveland, MS Micro Area",-299,31253,10.11,5.29,8.34,1.22,0.28,0.77,22.54,13.9,8.8,7.7,2.4,32412,54134
"Cleveland, TN Metro Area",-423,123731,9.28,5.04,6.19,0.68,0.54,1.1,27.61,18.6,12.4,13.1,3.6,51015,67538
"Clewiston, FL Micro Area",298,41472,11.6,5.28,3.67,0.52,0.03,0.22,17.49,13.8,12.3,7.1,3.5,36978,56453
"Clinton, IA Micro Area",-102,46734,7.7,5.03,3.03,0.8,0.27,0.65,29.53,20.1,13.1,13.4,4,52221,67727
"Clovis, NM Micro Area",160,49502,15.1,4.93,5.91,1.96,0.36,0.55,26.5,20.3,14.7,9.5,2.6,48903,61036
"Coamo, PR Micro Area",0,38603,8.75,4.51,5.21,0.61,0.38,0.47,14.11,10,3.3,1.5,0.4,18319,27093
"Coco, PR Micro Area",0,27638,9.32,6.33,3.84,0.45,0.32,0.31,13.52,8,3.2,1.1,0.2,17694,24618
"Coeur d'Alene, ID Metro Area",629,161676,8.94,5.01,3.35,0.63,0.52,0.9,32.31,22.2,12,16.5,5.6,60903,77123
"Coffeyville, KS Micro Area",-201,32114,9.23,4.51,4.68,0.76,0.47,0.92,28.98,21,9.9,9.3,3,45288,59567
"Coldwater, MI Micro Area",63,43428,8.97,5.18,2.49,0.26,0.33,0.63,26.53,22.9,13.7,10.7,3.5,52782,65728
"College Station-Bryan, TX Metro Area",-608,261701,17.04,4.25,17.96,4.32,0.97,2.42,28.87,17,10.8,12.7,4.8,51261,74718
"Colorado Springs, CO Metro Area",6634,735480,12.82,5.26,6.26,1.47,1.95,2.08,32.33,18.8,14.1,17.7,8,71171,91541
"Columbia, MO Metro Area",-834,207248,13.95,4.15,12.78,3.36,1.08,1.41,32.63,18.1,13.1,13.8,5,57980,77719
"Columbia, SC Metro Area",7441,832925,10.81,5.05,6.08,1.58,0.91,1.36,29.5,18.5,13,13.8,5.8,56680,76539
"Columbus, GA-AL Metro Area",2380,319643,12.03,5.22,5.61,1.48,0.91,0.54,26.08,17.9,11.3,11.5,4.4,48903,67981
"Columbus, IN Metro Area",75,83280,10.82,5.68,2.92,0.94,1.54,5.7,29.28,18.8,15,16,6.9,66978,81962
"Columbus, MS Micro Area",-941,58896,10.11,5.1,5.42,0.82,0.39,0.77,23.92,15.3,15.4,11.5,3.4,48170,64726
"Columbus, NE Micro Area",147,33250,8.97,5.58,2.35,0.92,0.34,1.43,29.31,19.1,17.7,13.6,4.3,60878,76091
"Columbus, OH Metro Area",7380,2101543,11.14,5.23,5.35,1.53,1.4,1.9,30.93,18.2,13.4,16.5,7.3,66715,89381
"Concord, NH Micro Area",1014,150902,9.77,5.17,5.44,1.31,0.99,1.92,32.88,17.2,15.3,19.4,9,77937,97320
"Connersville, IN Micro Area",-31,23068,8.47,5.26,2.71,0.44,1.18,0.34,28.6,19.5,14.8,11.4,1.7,47465,56677
